Sport,Hook,Question,Option 1,Option 2,Option 3,Answer
Soccer,Are you a soccer aficionado?,Which country has won the most FIFA World Cup titles?,Germany,Brazil,Italy,Brazil
Basketball,Hoop Dreams Trivia,Who holds the record for the most points scored in a single NBA game?,Michael Jordan,Kobe Bryant,Wilt Chamberlain,Wilt Chamberlain
Tennis,Love for Tennis,Which player holds the record for the most Grand Slam singles titles in tennis?,Serena Williams,Rafael Nadal,Roger Federer,Margaret Court
Baseball,Take Me Out to the Ball Game,What is the oldest Major League Baseball stadium still in use?,Fenway Park,Wrigley Field,Dodger Stadium,Fenway Park
Golf,Tee Time Trivia,Who holds the record for the most Masters Tournament victories in golf?,Arnold Palmer,Tiger Woods,Jack Nicklaus,Jack Nicklaus
Athletics,Run Like the Wind,What is the official distance of a marathon in kilometers?,42.2 km,40 km,26.2 km,42.2 km
Ice Hockey,Frozen Puck Fun,In which country did ice hockey originate?,Canada,Sweden,Russia,Canada
Cricket,Cricket Fever,What is the highest individual score in a Test cricket match?,375,400,501,501
Formula 1,Fast and Furious,Which driver holds the record for the most Formula 1 World Championships?,Ayrton Senna,Lewis Hamilton,Michael Schumacher,Lewis Hamilton
Olympics,Rings of Glory,In which city were the first modern Olympic Games held in 1896?,Paris,Athens,Rome,Athens
